id,ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to,created_at
31,TICKET-1031,Medium,resolved,Security,Email not syncing,User reported an IT issue requiring support team assistance.,2025-02-11,2025-02-14,analyst1,2025-02-11 00:00:00
32,TICKET-1032,Critical,open,Security,Network connectivity issue,User reported an IT issue requiring support team assistance.,2025-08-20,2025-08-21,it_support,2025-08-20 00:00:00
33,TICKET-1033,Medium,open,Network,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-06-10,2025-06-19,admin,2025-06-10 00:00:00
34,TICKET-1034,Critical,in_progress,Access,Password reset request,User reported an IT issue requiring support team assistance.,2024-12-20,2024-12-22,admin,2024-12-20 00:00:00
35,TICKET-1035,Critical,resolved,Email,System access issue,User reported an IT issue requiring support team assistance.,2024-03-05,2024-03-11,analyst1,2024-03-05 00:00:00
36,TICKET-1036,Low,open,Access,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-10-24,2024-10-25,admin,2024-10-24 00:00:00
37,TICKET-1037,Low,in_progress,Email,Network connectivity issue,User reported an IT issue requiring support team assistance.,2025-04-10,2025-04-18,admin,2025-04-10 00:00:00
38,TICKET-1038,High,closed,Hardware,Software installation request,User reported an IT issue requiring support team assistance.,2025-01-30,2025-02-08,admin,2025-01-30 00:00:00
39,TICKET-1039,Critical,resolved,Hardware,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-03-12,2025-03-13,analyst2,2025-03-12 00:00:00
40,TICKET-1040,Medium,open,Email,System access issue,User reported an IT issue requiring support team assistance.,2025-07-29,2025-07-30,analyst1,2025-07-29 00:00:00
41,TICKET-1041,Low,open,Hardware,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-07-08,2024-07-18,admin,2024-07-08 00:00:00
42,TICKET-1042,Low,resolved,Access,Email not syncing,User reported an IT issue requiring support team assistance.,2024-03-10,2024-03-18,soc_user,2024-03-10 00:00:00
43,TICKET-1043,Critical,resolved,Software,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-11-09,2024-11-12,admin,2024-11-09 00:00:00
44,TICKET-1044,Critical,open,Software,Printer not working,User reported an IT issue requiring support team assistance.,2025-06-28,2025-07-06,analyst2,2025-06-28 00:00:00
45,TICKET-1045,Critical,open,Hardware,System access issue,User reported an IT issue requiring support team assistance.,2024-08-29,2024-09-03,admin,2024-08-29 00:00:00
46,TICKET-1046,High,open,Software,Slow system performance,User reported an IT issue requiring support team assistance.,2024-09-13,2024-09-18,analyst2,2024-09-13 00:00:00
47,TICKET-1047,High,open,Network,System access issue,User reported an IT issue requiring support team assistance.,2024-07-10,2024-07-17,soc_user,2024-07-10 00:00:00
48,TICKET-1048,Medium,open,Network,Password reset request,User reported an IT issue requiring support team assistance.,2025-09-20,2025-09-21,it_support,2025-09-20 00:00:00
49,TICKET-1049,Critical,closed,Email,Laptop not turning on,User reported an IT issue requiring support team assistance.,2024-05-09,2024-05-12,soc_user,2024-05-09 00:00:00
50,TICKET-1050,Low,closed,Software,Printer not working,User reported an IT issue requiring support team assistance.,2025-10-17,2025-10-22,it_support,2025-10-17 00:00:00
51,TICKET-1051,High,resolved,Security,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-01-16,2024-01-25,analyst1,2024-01-16 00:00:00
52,TICKET-1052,High,in_progress,Email,Password reset request,User reported an IT issue requiring support team assistance.,2025-11-16,2025-11-23,it_support,2025-11-16 00:00:00
53,TICKET-1053,High,open,Software,Email not syncing,User reported an IT issue requiring support team assistance.,2025-02-10,2025-02-19,analyst1,2025-02-10 00:00:00
54,TICKET-1054,High,resolved,Email,Printer not working,User reported an IT issue requiring support team assistance.,2025-05-15,2025-05-16,analyst1,2025-05-15 00:00:00
55,TICKET-1055,High,resolved,Hardware,System access issue,User reported an IT issue requiring support team assistance.,2025-10-08,2025-10-12,soc_user,2025-10-08 00:00:00
56,TICKET-1056,Low,resolved,Software,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-10-21,2024-10-23,admin,2024-10-21 00:00:00
57,TICKET-1057,Low,open,Access,System access issue,User reported an IT issue requiring support team assistance.,2025-07-12,2025-07-15,admin,2025-07-12 00:00:00
58,TICKET-1058,Low,resolved,Software,Laptop not turning on,User reported an IT issue requiring support team assistance.,2024-10-01,2024-10-06,analyst2,2024-10-01 00:00:00
59,TICKET-1059,Low,closed,Hardware,Email not syncing,User reported an IT issue requiring support team assistance.,2024-09-28,2024-10-01,soc_user,2024-09-28 00:00:00
60,TICKET-1060,Low,in_progress,Hardware,Email not syncing,User reported an IT issue requiring support team assistance.,2024-01-03,2024-01-07,soc_user,2024-01-03 00:00:00
61,TICKET-1061,High,closed,Hardware,Printer not working,User reported an IT issue requiring support team assistance.,2024-07-11,2024-07-14,analyst2,2024-07-11 00:00:00
62,TICKET-1062,Low,closed,Software,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-07-21,2024-07-25,it_support,2024-07-21 00:00:00
63,TICKET-1063,Critical,resolved,Email,Printer not working,User reported an IT issue requiring support team assistance.,2025-04-11,2025-04-17,analyst1,2025-04-11 00:00:00
64,TICKET-1064,High,resolved,Email,Network connectivity issue,User reported an IT issue requiring support team assistance.,2025-07-18,2025-07-24,it_support,2025-07-18 00:00:00
65,TICKET-1065,Medium,in_progress,Software,Printer not working,User reported an IT issue requiring support team assistance.,2024-05-30,2024-06-05,it_support,2024-05-30 00:00:00
66,TICKET-1066,Medium,resolved,Software,Printer not working,User reported an IT issue requiring support team assistance.,2025-05-12,2025-05-16,admin,2025-05-12 00:00:00
67,TICKET-1067,High,closed,Security,System access issue,User reported an IT issue requiring support team assistance.,2024-01-09,2024-01-13,admin,2024-01-09 00:00:00
68,TICKET-1068,Low,open,Software,Slow system performance,User reported an IT issue requiring support team assistance.,2025-08-03,2025-08-05,it_support,2025-08-03 00:00:00
69,TICKET-1069,High,resolved,Software,System access issue,User reported an IT issue requiring support team assistance.,2025-03-28,2025-04-05,it_support,2025-03-28 00:00:00
70,TICKET-1070,Low,open,Network,Laptop not turning on,User reported an IT issue requiring support team assistance.,2025-08-04,2025-08-10,analyst2,2025-08-04 00:00:00
71,TICKET-1071,Critical,closed,Email,Laptop not turning on,User reported an IT issue requiring support team assistance.,2024-08-16,2024-08-26,analyst2,2024-08-16 00:00:00
72,TICKET-1072,Critical,closed,Software,Password reset request,User reported an IT issue requiring support team assistance.,2025-02-14,2025-02-20,admin,2025-02-14 00:00:00
73,TICKET-1073,Critical,in_progress,Network,Password reset request,User reported an IT issue requiring support team assistance.,2024-01-07,2024-01-10,admin,2024-01-07 00:00:00
74,TICKET-1074,High,in_progress,Software,Password reset request,User reported an IT issue requiring support team assistance.,2025-10-24,2025-10-24,admin,2025-10-24 00:00:00
75,TICKET-1075,High,resolved,Access,System access issue,User reported an IT issue requiring support team assistance.,2024-12-01,2024-12-04,it_support,2024-12-01 00:00:00
76,TICKET-1076,Critical,closed,Hardware,Laptop not turning on,User reported an IT issue requiring support team assistance.,2025-02-01,2025-02-01,admin,2025-02-01 00:00:00
77,TICKET-1077,Low,resolved,Security,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-01-07,2024-01-09,admin,2024-01-07 00:00:00
78,TICKET-1078,Low,in_progress,Software,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-02-05,2024-02-05,admin,2024-02-05 00:00:00
79,TICKET-1079,High,resolved,Software,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-09-08,2024-09-16,soc_user,2024-09-08 00:00:00
80,TICKET-1080,Medium,closed,Hardware,Printer not working,User reported an IT issue requiring support team assistance.,2025-02-18,2025-02-27,analyst2,2025-02-18 00:00:00
81,TICKET-1081,High,in_progress,Security,Security alert investigation,User reported an IT issue requiring support team assistance.,2024-10-05,2024-10-09,it_support,2024-10-05 00:00:00
82,TICKET-1082,Low,closed,Access,Security alert investigation,User reported an IT issue requiring support team assistance.,2024-03-10,2024-03-20,admin,2024-03-10 00:00:00
83,TICKET-1083,Low,closed,Network,Printer not working,User reported an IT issue requiring support team assistance.,2025-11-30,2025-12-03,it_support,2025-11-30 00:00:00
84,TICKET-1084,Medium,resolved,Email,Email not syncing,User reported an IT issue requiring support team assistance.,2025-10-23,2025-10-30,analyst2,2025-10-23 00:00:00
85,TICKET-1085,Critical,closed,Software,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-01-02,2025-01-07,analyst1,2025-01-02 00:00:00
86,TICKET-1086,Low,in_progress,Security,System access issue,User reported an IT issue requiring support team assistance.,2025-05-12,2025-05-20,soc_user,2025-05-12 00:00:00
87,TICKET-1087,High,resolved,Security,Network connectivity issue,User reported an IT issue requiring support team assistance.,2025-05-18,2025-05-28,analyst2,2025-05-18 00:00:00
88,TICKET-1088,Critical,open,Software,Slow system performance,User reported an IT issue requiring support team assistance.,2025-10-20,2025-10-20,it_support,2025-10-20 00:00:00
89,TICKET-1089,Medium,in_progress,Software,Email not syncing,User reported an IT issue requiring support team assistance.,2024-12-12,2024-12-19,it_support,2024-12-12 00:00:00
90,TICKET-1090,Critical,resolved,Network,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-02-16,2025-02-16,soc_user,2025-02-16 00:00:00
91,TICKET-1091,Low,in_progress,Network,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-09-30,2025-10-01,analyst1,2025-09-30 00:00:00
92,TICKET-1092,High,in_progress,Email,Security alert investigation,User reported an IT issue requiring support team assistance.,2024-12-03,2024-12-09,analyst2,2024-12-03 00:00:00
93,TICKET-1093,Low,open,Network,Software installation request,User reported an IT issue requiring support team assistance.,2024-12-14,2024-12-20,analyst2,2024-12-14 00:00:00
94,TICKET-1094,High,open,Access,System access issue,User reported an IT issue requiring support team assistance.,2024-02-21,2024-02-28,admin,2024-02-21 00:00:00
95,TICKET-1095,High,closed,Security,System access issue,User reported an IT issue requiring support team assistance.,2025-03-20,2025-03-24,it_support,2025-03-20 00:00:00
96,TICKET-1096,High,resolved,Software,Password reset request,User reported an IT issue requiring support team assistance.,2024-05-01,2024-05-05,soc_user,2024-05-01 00:00:00
97,TICKET-1097,Critical,in_progress,Software,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-01-25,2025-02-03,soc_user,2025-01-25 00:00:00
98,TICKET-1098,Critical,open,Security,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-09-26,2025-09-27,analyst1,2025-09-26 00:00:00
99,TICKET-1099,Low,open,Security,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-01-29,2024-02-02,soc_user,2024-01-29 00:00:00
100,TICKET-1100,Low,open,Hardware,Password reset request,User reported an IT issue requiring support team assistance.,2024-10-09,2024-10-09,it_support,2024-10-09 00:00:00
101,TICKET-1101,High,closed,Email,Slow system performance,User reported an IT issue requiring support team assistance.,2024-11-05,2024-11-05,soc_user,2024-11-05 00:00:00
102,TICKET-1102,Critical,open,Hardware,Security alert investigation,User reported an IT issue requiring support team assistance.,2024-02-03,2024-02-12,admin,2024-02-03 00:00:00
103,TICKET-1103,Low,in_progress,Hardware,Slow system performance,User reported an IT issue requiring support team assistance.,2024-09-09,2024-09-10,analyst1,2024-09-09 00:00:00
104,TICKET-1104,Medium,resolved,Security,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-05-19,2024-05-27,analyst2,2024-05-19 00:00:00
105,TICKET-1105,Critical,closed,Software,Password reset request,User reported an IT issue requiring support team assistance.,2025-08-07,2025-08-12,analyst2,2025-08-07 00:00:00
106,TICKET-1106,Low,closed,Hardware,Email not syncing,User reported an IT issue requiring support team assistance.,2024-09-08,2024-09-11,admin,2024-09-08 00:00:00
107,TICKET-1107,High,resolved,Access,Printer not working,User reported an IT issue requiring support team assistance.,2024-02-09,2024-02-15,analyst2,2024-02-09 00:00:00
108,TICKET-1108,High,open,Security,Password reset request,User reported an IT issue requiring support team assistance.,2024-09-21,2024-09-29,admin,2024-09-21 00:00:00
109,TICKET-1109,Medium,closed,Email,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-09-01,2025-09-04,admin,2025-09-01 00:00:00
110,TICKET-1110,Critical,in_progress,Hardware,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-09-21,2024-09-24,analyst2,2024-09-21 00:00:00
111,TICKET-1111,Low,closed,Access,Email not syncing,User reported an IT issue requiring support team assistance.,2024-04-24,2024-04-25,soc_user,2024-04-24 00:00:00
112,TICKET-1112,Low,in_progress,Email,Laptop not turning on,User reported an IT issue requiring support team assistance.,2024-08-12,2024-08-14,analyst2,2024-08-12 00:00:00
113,TICKET-1113,Critical,in_progress,Hardware,Password reset request,User reported an IT issue requiring support team assistance.,2024-09-11,2024-09-12,analyst1,2024-09-11 00:00:00
114,TICKET-1114,Critical,resolved,Email,Printer not working,User reported an IT issue requiring support team assistance.,2024-12-22,2024-12-28,soc_user,2024-12-22 00:00:00
115,TICKET-1115,Critical,in_progress,Security,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-01-19,2025-01-26,analyst2,2025-01-19 00:00:00
116,TICKET-1116,Low,resolved,Email,System access issue,User reported an IT issue requiring support team assistance.,2024-06-24,2024-06-29,it_support,2024-06-24 00:00:00
117,TICKET-1117,Medium,closed,Email,Slow system performance,User reported an IT issue requiring support team assistance.,2024-04-17,2024-04-25,analyst1,2024-04-17 00:00:00
118,TICKET-1118,Critical,resolved,Network,Network connectivity issue,User reported an IT issue requiring support team assistance.,2025-05-11,2025-05-13,soc_user,2025-05-11 00:00:00
119,TICKET-1119,Medium,in_progress,Access,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-08-03,2024-08-07,analyst1,2024-08-03 00:00:00
120,TICKET-1120,High,open,Software,Email not syncing,User reported an IT issue requiring support team assistance.,2024-03-18,2024-03-28,analyst2,2024-03-18 00:00:00
121,TICKET-1121,Critical,resolved,Software,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-05-16,2025-05-21,analyst1,2025-05-16 00:00:00
122,TICKET-1122,High,open,Access,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-03-17,2025-03-18,soc_user,2025-03-17 00:00:00
123,TICKET-1123,Medium,open,Hardware,Laptop not turning on,User reported an IT issue requiring support team assistance.,2024-10-17,2024-10-27,it_support,2024-10-17 00:00:00
124,TICKET-1124,Medium,open,Network,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-08-10,2025-08-12,admin,2025-08-10 00:00:00
125,TICKET-1125,Medium,open,Hardware,Printer not working,User reported an IT issue requiring support team assistance.,2024-06-20,2024-06-25,admin,2024-06-20 00:00:00
126,TICKET-1126,Low,closed,Security,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-10-03,2024-10-04,analyst1,2024-10-03 00:00:00
127,TICKET-1127,Low,in_progress,Hardware,System access issue,User reported an IT issue requiring support team assistance.,2025-02-05,2025-02-14,soc_user,2025-02-05 00:00:00
128,TICKET-1128,Low,closed,Software,Slow system performance,User reported an IT issue requiring support team assistance.,2024-03-18,2024-03-28,it_support,2024-03-18 00:00:00
129,TICKET-1129,Medium,resolved,Access,Software installation request,User reported an IT issue requiring support team assistance.,2024-09-04,2024-09-13,analyst2,2024-09-04 00:00:00
130,TICKET-1130,Critical,open,Network,Email not syncing,User reported an IT issue requiring support team assistance.,2025-02-08,2025-02-18,analyst1,2025-02-08 00:00:00
131,TICKET-1131,Low,open,Email,Slow system performance,User reported an IT issue requiring support team assistance.,2024-11-30,2024-12-09,analyst2,2024-11-30 00:00:00
132,TICKET-1132,Critical,resolved,Hardware,Slow system performance,User reported an IT issue requiring support team assistance.,2024-12-06,2024-12-13,analyst2,2024-12-06 00:00:00
133,TICKET-1133,Low,closed,Security,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-08-26,2025-09-05,it_support,2025-08-26 00:00:00
134,TICKET-1134,Medium,open,Hardware,Email not syncing,User reported an IT issue requiring support team assistance.,2024-12-14,2024-12-24,soc_user,2024-12-14 00:00:00
135,TICKET-1135,High,resolved,Hardware,Network connectivity issue,User reported an IT issue requiring support team assistance.,2025-02-14,2025-02-21,soc_user,2025-02-14 00:00:00
136,TICKET-1136,Medium,open,Software,System access issue,User reported an IT issue requiring support team assistance.,2024-08-29,2024-08-29,admin,2024-08-29 00:00:00
137,TICKET-1137,High,resolved,Hardware,Slow system performance,User reported an IT issue requiring support team assistance.,2024-03-23,2024-03-31,analyst2,2024-03-23 00:00:00
138,TICKET-1138,Low,closed,Hardware,System access issue,User reported an IT issue requiring support team assistance.,2025-02-12,2025-02-13,it_support,2025-02-12 00:00:00
139,TICKET-1139,Medium,open,Software,Printer not working,User reported an IT issue requiring support team assistance.,2025-05-15,2025-05-23,admin,2025-05-15 00:00:00
140,TICKET-1140,High,resolved,Access,Slow system performance,User reported an IT issue requiring support team assistance.,2025-05-09,2025-05-09,analyst2,2025-05-09 00:00:00
141,TICKET-1141,Low,closed,Network,System access issue,User reported an IT issue requiring support team assistance.,2025-10-22,2025-10-24,soc_user,2025-10-22 00:00:00
142,TICKET-1142,Critical,open,Network,System access issue,User reported an IT issue requiring support team assistance.,2025-04-13,2025-04-19,analyst1,2025-04-13 00:00:00
143,TICKET-1143,Critical,open,Network,Software installation request,User reported an IT issue requiring support team assistance.,2024-02-19,2024-02-21,it_support,2024-02-19 00:00:00
144,TICKET-1144,Medium,resolved,Email,Email not syncing,User reported an IT issue requiring support team assistance.,2024-09-03,2024-09-04,admin,2024-09-03 00:00:00
145,TICKET-1145,Low,open,Hardware,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-12-31,2024-12-31,admin,2024-12-31 00:00:00
146,TICKET-1146,Medium,closed,Software,Password reset request,User reported an IT issue requiring support team assistance.,2025-10-10,2025-10-19,analyst1,2025-10-10 00:00:00
147,TICKET-1147,High,closed,Software,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-03-27,2024-03-28,analyst1,2024-03-27 00:00:00
148,TICKET-1148,Medium,resolved,Hardware,Network connectivity issue,User reported an IT issue requiring support team assistance.,2025-03-11,2025-03-13,it_support,2025-03-11 00:00:00
149,TICKET-1149,Critical,resolved,Email,Email not syncing,User reported an IT issue requiring support team assistance.,2025-01-03,2025-01-03,soc_user,2025-01-03 00:00:00
150,TICKET-1150,Medium,closed,Network,Slow system performance,User reported an IT issue requiring support team assistance.,2024-07-25,2024-08-01,analyst1,2024-07-25 00:00:00
151,TICKET-1151,Medium,resolved,Network,Security alert investigation,User reported an IT issue requiring support team assistance.,2024-01-16,2024-01-26,soc_user,2024-01-16 00:00:00
152,TICKET-1152,High,in_progress,Email,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-01-23,2024-02-02,admin,2024-01-23 00:00:00
153,TICKET-1153,Critical,in_progress,Network,System access issue,User reported an IT issue requiring support team assistance.,2024-01-28,2024-02-04,it_support,2024-01-28 00:00:00
154,TICKET-1154,Low,resolved,Network,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-04-15,2025-04-22,analyst2,2025-04-15 00:00:00
155,TICKET-1155,Low,closed,Network,Email not syncing,User reported an IT issue requiring support team assistance.,2024-05-30,2024-06-02,analyst1,2024-05-30 00:00:00
156,TICKET-1156,Critical,open,Hardware,Password reset request,User reported an IT issue requiring support team assistance.,2025-05-10,2025-05-16,it_support,2025-05-10 00:00:00
157,TICKET-1157,High,resolved,Network,Security alert investigation,User reported an IT issue requiring support team assistance.,2024-08-06,2024-08-08,analyst1,2024-08-06 00:00:00
158,TICKET-1158,Low,resolved,Software,Network connectivity issue,User reported an IT issue requiring support team assistance.,2025-08-15,2025-08-24,it_support,2025-08-15 00:00:00
159,TICKET-1159,Critical,in_progress,Software,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-09-24,2024-10-04,it_support,2024-09-24 00:00:00
160,TICKET-1160,Medium,resolved,Access,Laptop not turning on,User reported an IT issue requiring support team assistance.,2024-05-24,2024-05-28,analyst1,2024-05-24 00:00:00
161,TICKET-1161,High,open,Software,VPN not connecting,User reported an IT issue requiring support team assistance.,2024-07-15,2024-07-23,it_support,2024-07-15 00:00:00
162,TICKET-1162,Medium,closed,Hardware,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-10-08,2024-10-12,soc_user,2024-10-08 00:00:00
163,TICKET-1163,Low,open,Hardware,Password reset request,User reported an IT issue requiring support team assistance.,2024-05-18,2024-05-20,analyst2,2024-05-18 00:00:00
164,TICKET-1164,High,open,Email,Printer not working,User reported an IT issue requiring support team assistance.,2024-09-22,2024-09-24,soc_user,2024-09-22 00:00:00
165,TICKET-1165,Low,resolved,Software,System access issue,User reported an IT issue requiring support team assistance.,2025-10-20,2025-10-21,analyst2,2025-10-20 00:00:00
166,TICKET-1166,Medium,in_progress,Hardware,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-11-03,2025-11-13,it_support,2025-11-03 00:00:00
167,TICKET-1167,High,in_progress,Network,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-07-18,2025-07-22,admin,2025-07-18 00:00:00
168,TICKET-1168,High,open,Security,Laptop not turning on,User reported an IT issue requiring support team assistance.,2024-02-03,2024-02-08,soc_user,2024-02-03 00:00:00
169,TICKET-1169,Low,resolved,Access,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-06-01,2025-06-01,it_support,2025-06-01 00:00:00
170,TICKET-1170,Low,resolved,Email,Password reset request,User reported an IT issue requiring support team assistance.,2024-04-07,2024-04-08,analyst1,2024-04-07 00:00:00
171,TICKET-1171,High,resolved,Email,Security alert investigation,User reported an IT issue requiring support team assistance.,2025-10-25,2025-10-30,admin,2025-10-25 00:00:00
172,TICKET-1172,Critical,resolved,Network,Printer not working,User reported an IT issue requiring support team assistance.,2025-06-20,2025-06-29,it_support,2025-06-20 00:00:00
173,TICKET-1173,Low,open,Hardware,VPN not connecting,User reported an IT issue requiring support team assistance.,2025-03-14,2025-03-19,soc_user,2025-03-14 00:00:00
174,TICKET-1174,Critical,open,Network,Email not syncing,User reported an IT issue requiring support team assistance.,2025-09-08,2025-09-17,admin,2025-09-08 00:00:00
175,TICKET-1175,Low,closed,Software,Slow system performance,User reported an IT issue requiring support team assistance.,2025-11-18,2025-11-25,soc_user,2025-11-18 00:00:00
176,TICKET-1176,High,resolved,Hardware,Network connectivity issue,User reported an IT issue requiring support team assistance.,2024-01-21,2024-01-26,analyst2,2024-01-21 00:00:00
177,TICKET-1177,Critical,in_progress,Software,Email not syncing,User reported an IT issue requiring support team assistance.,2024-08-07,2024-08-08,analyst2,2024-08-07 00:00:00
178,TICKET-1178,Critical,open,Hardware,Printer not working,User reported an IT issue requiring support team assistance.,2025-04-29,2025-05-06,it_support,2025-04-29 00:00:00
179,TICKET-1179,High,in_progress,Network,Security alert investigation,User reported an IT issue requiring support team assistance.,2024-09-11,2024-09-15,it_support,2024-09-11 00:00:00
180,TICKET-1180,Low,resolved,Email,Slow system performance,User reported an IT issue requiring support team assistance.,2025-06-01,2025-06-07,it_support,2025-06-01 00:00:00
181,TICKET-1181,Low,resolved,Email,Security alert investigation,User reported an IT issue requiring support team assistance.,2024-11-29,2024-12-07,analyst1,2024-11-29 00:00:00
182,TICKET-1182,Critical,open,Security,Printer not working,User reported an IT issue requiring support team assistance.,2024-08-05,2024-08-14,analyst1,2024-08-05 00:00:00
